misra1,misra2,poet
ہاں ٹھیک ہے میں اپنی انا کا مریض ہوں ,آخر مرے مزاج میں کیوں دخل دے کوئی ,Jaun Eliya
ایک ہی تو ہوس رہی ہے ہمیں ,اپنی حالت تباہ کی جائے ,Jaun Eliya
نہیں دنیا کو جب پروا ہماری ,تو پھر دنیا کی پروا کیوں کریں ہم ,Jaun Eliya
آج مجھ کو بہت برا کہہ کر ,آپ نے نام تو لیا میرا ,Jaun Eliya
جرم میں ہم کمی کریں بھی تو کیوں ,تم سزا بھی تو کم نہیں کرتے ,Jaun Eliya
جاتے جاتے آپ اتنا کام تو کیجے مرا ,یاد کا سارا سر و ساماں جلاتے جائیے ,Jaun Eliya
گنوائی کس کی تمنا میں زندگی میں نے ,وہ کون ہے جسے دیکھا نہیں کبھی میں نے ,Jaun Eliya
تمہاری یاد میں جینے کی آرزو ہے ابھی ,کچھ اپنا حال سنبھالوں اگر اجازت ہو ,Jaun Eliya
شوق ہے اس دل درندہ کو ,آپ کے ہونٹ کاٹ کھانے کا ,Jaun Eliya
اب جو رشتوں میں بندھا ہوں تو کھلا ہے مجھ پر ,کب پرند اڑ نہیں پاتے ہیں پروں کے ہوتے ,Jaun Eliya
زندگی کیا ہے اک کہانی ہے ,یہ کہانی نہیں سنانی ہے ,Jaun Eliya
شب جو ہم سے ہوا معاف کرو ,نہیں پی تھی بہک گئے ہوں گے ,Jaun Eliya
ہر شخص سے بے نیاز ہو جا ,پھر سب سے یہ کہہ کہ میں خدا ہوں ,Jaun Eliya
یہ بہت غم کی بات ہو شاید ,اب تو غم بھی گنوا چکا ہوں میں ,Jaun Eliya
ایک ہی حادثہ تو ہے اور وہ یہ کہ آج تک ,بات نہیں کہی گئی بات نہیں سنی گئی ,Jaun Eliya
اپنے سر اک بلا تو لینی تھی ,میں نے وہ زلف اپنے سر لی ہے ,Jaun Eliya
اتنا خالی تھا اندروں میرا ,کچھ دنوں تو خدا رہا مجھ میں ,Jaun Eliya
رویا ہوں تو اپنے دوستوں میں ,پر تجھ سے تو ہنس کے ہی ملا ہوں ,Jaun Eliya
میری ہر بات بے اثر ہی رہی ,نقص ہے کچھ مرے بیان میں کیا ,Jaun Eliya
ہیں دلیلیں ترے خلاف مگر ,سوچتا ہوں تری حمایت میں ,Jaun Eliya
اس کے ہونٹوں پہ رکھ کے ہونٹ اپنے ,بات ہی ہم تمام کر رہے ہیں ,Jaun Eliya
آج بہت دن بعد میں اپنے کمرے تک آ نکلا تھا ,جوں ہی دروازہ کھولا ہے اس کی خوشبو آئی ہے ,Jaun Eliya
ہم کہاں اور تم کہاں جاناں ,ہیں کئی ہجر درمیاں جاناں ,Jaun Eliya
ہماری ہی تمنا کیوں کرو تم ,تمہاری ہی تمنا کیوں کریں ہم ,Jaun Eliya
مجھ سے اب لوگ کم ہی ملتے ہیں ,یوں بھی میں ہٹ گیا ہوں منظر سے ,Jaun Eliya
جانیے اس سے نبھے گی کس طرح ,وہ خدا ہے میں تو بندہ بھی نہیں ,Jaun Eliya
مل رہی ہو بڑے تپاک کے ساتھ ,مجھ کو یکسر بھلا چکی ہو کیا ,Jaun Eliya
مجھ کو خواہش ہی ڈھونڈنے کی نہ تھی ,مجھ میں کھویا رہا خدا میرا ,Jaun Eliya
یہ کافی ہے کہ ہم دشمن نہیں ہیں ,وفا داری کا دعویٰ کیوں کریں ہم ,Jaun Eliya
بولتے کیوں نہیں مرے حق میں ,آبلے پڑ گئے زبان میں کیا ,Jaun Eliya
اب تو اس کے بارے میں تم جو چاہو وہ کہہ ڈالو ,وہ انگڑائی میرے کمرے تک تو بڑی روحانی تھی ,Jaun Eliya
میں جرم کا اعتراف کر کے ,کچھ اور ہے جو چھپا گیا ہوں ,Jaun Eliya
تیغ بازی کا شوق اپنی جگہ ,آپ تو قتل عام کر رہے ہیں ,Jaun Eliya
اور کیا چاہتی ہے گردش ایام کہ ہم ,اپنا گھر بھول گئے ان کی گلی بھول گئے ,Jaun Eliya
خرچ چلے گا اب مرا کس کے حساب میں بھلا ,سب کے لئے بہت ہوں میں اپنے لئے ذرا نہیں ,Jaun Eliya
سب میرے بغیر مطمئن ہیں ,میں سب کے بغیر جی رہا ہوں ,Jaun Eliya
تو کیا سچ مچ جدائی مجھ سے کر لی ,تو خود اپنے کو آدھا کر لیا کیا ,Jaun Eliya
خموشی سے ادا ہو رسم دوری ,کوئی ہنگامہ برپا کیوں کریں ہم ,Jaun Eliya
کیا ہے جو بدل گئی ہے دنیا ,میں بھی تو بہت بدل گیا ہوں ,Jaun Eliya
ہو رہا ہوں میں کس طرح برباد ,دیکھنے والے ہاتھ ملتے ہیں ,Jaun Eliya
ہمارے زخم تمنا پرانے ہو گئے ہیں ,کہ اس گلی میں گئے اب زمانے ہو گئے ہیں ,Jaun Eliya
یہ وار کر گیا ہے پہلو سے کون مجھ پر ,تھا میں ہی دائیں بائیں اور میں ہی درمیاں تھا ,Jaun Eliya
اب تم کبھی نہ آؤ گے یعنی کبھی کبھی ,رخصت کرو مجھے کوئی وعدہ کیے بغیر ,Jaun Eliya
کل کا دن ہائے کل کا دن اے جونؔ ,کاش اس رات ہم بھی مر جائیں ,Jaun Eliya
آخری بات تم سے کہنا ہے ,یاد رکھنا نہ تم کہا میرا ,Jaun Eliya
آئینوں کو زنگ لگا ,اب میں کیسا لگتا ہوں ,Jaun Eliya
ٹھیک ہے خود کو ہم بدلتے ہیں ,شکریہ مشورت کا چلتے ہیں ,Jaun Eliya
چاند نے تان لی ہے چادر ابر ,اب وہ کپڑے بدل رہی ہوگی ,Jaun Eliya
حاصل کن ہے یہ جہان خراب ,یہی ممکن تھا اتنی عجلت میں ,Jaun Eliya
وفا اخلاص قربانی محبت ,اب ان لفظوں کا پیچھا کیوں کریں ہم ,Jaun Eliya
کون سے شوق کس ہوس کا نہیں ,دل مری جان تیرے بس کا نہیں ,Jaun Eliya
جسم میں آگ لگا دوں اس کے ,اور پھر خود ہی بجھا دوں اس کو ,Jaun Eliya
کیا پوچھتے ہو نام و نشان مسافراں ,ہندوستاں میں آئے ہیں ہندوستان کے تھے ,Jaun Eliya
خوب ہے شوق کا یہ پہلو بھی ,میں بھی برباد ہو گیا تو بھی ,Jaun Eliya
سب سے پر امن واقعہ یہ ہے ,آدمی آدمی کو بھول گیا ,Jaun Eliya
ہے وہ بے چارگی کا حال کہ ہم ,ہر کسی کو سلام کر رہے ہیں ,Jaun Eliya
پڑی رہنے دو انسانوں کی لاشیں ,زمیں کا بوجھ ہلکا کیوں کریں ہم ,Jaun Eliya
مجھے اب ہوش آتا جا رہا ہے ,خدا تیری خدائی جا رہی ہے ,Jaun Eliya
مل کر تپاک سے نہ ہمیں کیجیے اداس ,خاطر نہ کیجیے کبھی ہم بھی یہاں کے تھے ,Jaun Eliya
بھول جانا نہیں گناہ اسے ,یاد کرنا اسے ثواب نہیں ,Jaun Eliya
ہم جو اب آدمی ہیں پہلے کبھی ,جام ہوں گے چھلک گئے ہوں گے ,Jaun Eliya
داد و تحسین کا یہ شور ہے کیوں ,ہم تو خود سے کلام کر رہے ہیں ,Jaun Eliya
تری قیمت گھٹائی جا رہی ہے ,مجھے فرقت سکھائی جا رہی ہے ,Jaun Eliya
فلاں سے تھی غزل بہتر فلاں کی ,فلاں کے زخم اچھے تھے فلاں سے ,Jaun Eliya
اپنے اندر ہنستا ہوں میں اور بہت شرماتا ہوں ,خون بھی تھوکا سچ مچ تھوکا اور یہ سب چالاکی تھی ,Jaun Eliya
مجھ کو تو کوئی ٹوکتا بھی نہیں ,یہی ہوتا ہے خاندان میں کیا ,Jaun Eliya
اس نے گویا مجھی کو یاد رکھا ,میں بھی گویا اسی کو بھول گیا ,Jaun Eliya
اس سے ہر دم معاملہ ہے مگر ,درمیاں کوئی سلسلہ ہی نہیں ,Jaun Eliya
ہم یہاں خود آئے ہیں لایا نہیں کوئی ہمیں ,اور خدا کا ہم نے اپنے نام پر رکھا ہے نام ,Jaun Eliya
گو اپنے ہزار نام رکھ لوں ,پر اپنے سوا میں اور کیا ہوں ,Jaun Eliya
ساری گلی سنسان پڑی تھی باد فنا کے پہرے میں ,ہجر کے دالان اور آنگن میں بس اک سایہ زندہ تھا ,Jaun Eliya
اپنے سبھی گلے بجا پر ہے یہی کہ دل ربا ,میرا ترا معاملہ عشق کے بس کا تھا نہیں ,Jaun Eliya
ہو کبھی تو شراب وصل نصیب ,پئے جاؤں میں خون ہی کب تک ,Jaun Eliya
میں بستر خیال پہ لیٹا ہوں اس کے پاس ,صبح ازل سے کوئی تقاضا کیے بغیر ,Jaun Eliya
ہم نے کیوں خود پہ اعتبار کیا ,سخت بے اعتبار تھے ہم تو ,Jaun Eliya
جمع ہم نے کیا ہے غم دل میں ,اس کا اب سود کھائے جائیں گے ,Jaun Eliya
اک عجب آمد و شد ہے کہ نہ ماضی ہے نہ حال ,جونؔ برپا کئی نسلوں کا سفر ہے مجھ میں ,Jaun Eliya
ہم ہیں مصروف انتظام مگر ,جانے کیا انتظام کر رہے ہیں ,Jaun Eliya
جان من تیری بے نقابی نے ,آج کتنے نقاب بیچے ہیں ,Jaun Eliya
خدا سے لے لیا جنت کا وعدہ ,یہ زاہد تو بڑے ہی گھاگ نکلے ,Jaun Eliya
اب نہیں ملیں گے ہم کوچۂ تمنا میں ,کوچۂ تمنا میں اب نہیں ملیں گے ہم ,Jaun Eliya
ہمیں شکوہ نہیں اک دوسرے سے ,منانا چاہئے اس پر خوشی کیا ,Jaun Eliya
یاد آتے ہیں معجزے اپنے ,اور اس کے بدن کا جادو بھی ,Jaun Eliya
شام ہوئی ہے یار آئے ہیں یاروں کے ہم راہ چلیں ,آج وہاں قوالی ہوگی جونؔ چلو درگاہ چلیں ,Jaun Eliya
اب خاک اڑ رہی ہے یہاں انتظار کی ,اے دل یہ بام و در کسی جان جہاں کے تھے ,Jaun Eliya
گھر سے ہم گھر تلک گئے ہوں گے ,اپنے ہی آپ تک گئے ہوں گے ,Jaun Eliya
نئی خواہش رچائی جا رہی ہے ,تری فرقت منائی جا رہی ہے ,Jaun Eliya
پھر اس گلی سے اپنا گزر چاہتا ہے دل ,اب اس گلی کو کون سی بستی سے لاؤں میں ,Jaun Eliya
حملہ ہے چار سو در و دیوار شہر کا ,سب جنگلوں کو شہر کے اندر سمیٹ لو ,Jaun Eliya
میں سہوں کرب زندگی کب تک ,رہے آخر تری کمی کب تک ,Jaun Eliya
مجھ کو یہ ہوش ہی نہ تھا تو مرے بازوؤں میں ہے ,یعنی تجھے ابھی تلک میں نے رہا نہیں کیا ,Jaun Eliya
تجھ کو خبر نہیں کہ ترا کرب دیکھ کر ,اکثر ترا مذاق اڑاتا رہا ہوں میں ,Jaun Eliya
میں کہوں کس طرح یہ بات اس سے ,تجھ کو جانم مجھی سے خطرہ ہے ,Jaun Eliya
جونؔ دنیا کی چاکری کر کے ,تو نے دل کی وہ نوکری کیا کی ,Jaun Eliya
میں اس دیوار پر چڑھ تو گیا تھا ,اتارے کون اب دیوار پر سے ,Jaun Eliya
اب کہ جب جانانہ تم کو ہے سبھی پر اعتبار ,اب تمہیں جانانہ مجھ پر اعتبار آیا تو کیا ,Jaun Eliya
ہم عجب ہیں کہ اس کی باہوں میں ,شکوۂ نارسائی کرتے ہیں ,Jaun Eliya
ہم کو ہرگز نہیں خدا منظور ,یعنی ہم بے طرح خدا کے ہیں ,Jaun Eliya
حسن کہتا تھا چھیڑنے والے ,چھیڑنا ہی تو بس نہیں چھو بھی ,Jaun Eliya
ان لبوں کا لہو نہ پی جاؤں ,اپنی تشنہ لبی سے خطرہ ہے ,Jaun Eliya
ایک قتالہ چاہئے ہم کو ,ہم یہ اعلان عام کر رہے ہیں ,Jaun Eliya
کیا تھا عہد جب لمحوں میں ہم نے ,تو ساری عمر ایفا کیوں کریں ہم ,Jaun Eliya
ہائے وہ اس کا موج خیز بدن ,میں تو پیاسا رہا لب جو بھی ,Jaun Eliya
زمانہ تھا وہ دل کی زندگی کا ,تری فرقت کے دن لاؤں کہاں سے ,Jaun Eliya
شاید وہ دن پہلا دن تھا پلکیں بوجھل ہونے کا ,مجھ کو دیکھتے ہی جب اس کی انگڑائی شرمائی ہے ,Jaun Eliya
شیشے کے اس طرف سے میں سب کو تک رہا ہوں ,مرنے کی بھی کسی کو فرصت نہیں ہے مجھ میں ,Jaun Eliya
میں اب ہر شخص سے اکتا چکا ہوں ,فقط کچھ دوست ہیں اور دوست بھی کیا ,Jaun Eliya
نہ رکھا ہم نے بیش و کم کا خیال ,شوق کو بے حساب ہی لکھا ,Jaun Eliya
اے صبح میں اب کہاں رہا ہوں ,خوابوں ہی میں صرف ہو چکا ہوں ,Jaun Eliya
پوچھ نہ وصل کا حساب حال ہے اب بہت خراب ,رشتۂ جسم و جاں کے بیچ جسم حرام ہو گیا ,Jaun Eliya
رائیگاں وصل میں بھی وقت ہوا ,پر ہوا خوب رائیگاں جاناں ,Jaun Eliya
میں لے کے دل کے رشتے گھر سے نکل چکا ہوں ,دیوار و در کے رشتے دیوار و در میں ہوں گے ,Jaun Eliya
دو جہاں سے گزر گیا پھر بھی ,میں رہا خود کو عمر بھر درپیش ,Jaun Eliya
اک شخص کر رہا ہے ابھی تک وفا کا ذکر ,کاش اس زباں دراز کا منہ نوچ لے کوئی ,Jaun Eliya
کچھ تو رشتہ ہے تم سے کم بختوں ,کچھ نہیں کوئی بد دعا بھیجو ,Jaun Eliya
رکھو دیر و حرم کو اب مقفل ,کئی پاگل یہاں سے بھاگ نکلے ,Jaun Eliya
مرہم ہجر تھا عجب اکسیر ,اب تو ہر زخم بھر گیا ہوگا ,Jaun Eliya
یہ پیہم تلخ کامی سی رہی کیا ,محبت زہر کھا کر آئی تھی کیا ,Jaun Eliya
بہت کترا رہے ہو مغبچوں سے ,گناہ ترک بادہ کر لیا کیا ,Jaun Eliya
آپ اپنی گلی کے سائل کو ,کم سے کم پر سوال تو رکھئے ,Jaun Eliya
رہن سرشاریٔ فضا کے ہیں ,آج کے بعد ہم ہوا کے ہیں ,Jaun Eliya
مری شراب کا شہرہ ہے اب زمانے میں ,سو یہ کرم ہے تو کس کا ہے اب بھی آ جاؤ ,Jaun Eliya
کیا ہوئے صورت نگاراں خواب کے ,خواب کے صورت نگاراں کیا ہوئے ,Jaun Eliya
مجھے غرض ہے مری جان غل مچانے سے ,نہ تیرے آنے سے مطلب نہ تیرے جانے سے ,Jaun Eliya
سوچا ہے کہ اب کار مسیحا نہ کریں گے ,وہ خون بھی تھوکے گا تو پروا نہ کریں گے ,Jaun Eliya
ہم ترا ہجر منانے کے لیے نکلے ہیں ,شہر میں آگ لگانے کے لیے نکلے ہیں ,Jaun Eliya
کس سے اظہار مدعا کیجے ,آپ ملتے نہیں ہیں کیا کیجے ,Jaun Eliya
سینہ دہک رہا ہو تو کیا چپ رہے کوئی ,کیوں چیخ چیخ کر نہ گلا چھیل لے کوئی ,Jaun Eliya
دل اب دنیا پہ لعنت کر کہ اس کی ,بہت خدمت گزاری ہو گئی ہے ,Jaun Eliya
ثابت ہوا سکون دل و جاں کہیں نہیں ,رشتوں میں ڈھونڈھتا ہے تو ڈھونڈا کرے کوئی ,Jaun Eliya
اک حسن بے مثال کی تمثیل کے لیے ,پرچھائیوں پہ رنگ گراتا رہا ہوں میں ,Jaun Eliya
اس کے ہونٹھوں پہ رکھ کے ہونٹھ اپنے ,بات ہی ہم تمام کر رہے ہیں ,Jaun Eliya
میرے تیور بجھ گئے میری نگاہیں جل گئی ,اب کوئی آئینہ رو آئینہ دار آیا تو کیا ,Jaun Eliya
مہذب آدمی پتلون کے بٹن تو لگا ,کہ ارتقا ہے عبارت بٹن لگانے سے ,Jaun Eliya
تیغ تو جونؔ پھینک دیجے مگر ,ہاتھ میں اپنے ڈھال تو رکھئے ,Jaun Eliya
کتنی وحشت ہے درمیان ہجوم ,جس کو دیکھو گیا ہوا ہے کہیں ,Jaun Eliya
بے ستوں اک نواحی میں ہے شہر دل کی ,تیشہ انعام کریں اور کوئی فرہاد رکھیں ,Jaun Eliya
تیرا خیال خواب خواب خلوت جاں کی آب و تاب ,جسم جمیل و نوجواں شام بخیر شب بخیر ,Jaun Eliya
خیرہ سران شوق کا کوئی نہیں ہے جنبہ دار ,شہر میں اس گروہ نے کس کو خفا نہیں کیا ,Jaun Eliya
ایک سرود روشنی نیمۂ شب کا خواب تھا ,ایک خموش تیرگی سانحہ آشنا بھی تھی ,Jaun Eliya
لمحہ بہ لمحہ دم بہ دم آن بہ آن رم بہ رم ,میں بھی گزشتگاں میں ہوں تو بھی گزشتگاں میں ہے ,Jaun Eliya
اس کی چشم نیم وا سے پوچھیو ,وہ ترے مژگاں شماراں کیا ہوئے ,Jaun Eliya
وہ منکر ہے تو پھر شاید ہر اک مکتوب شوق اس نے ,سر انگشت حنائی سے خلاؤں میں لکھا ہوگا ,Jaun Eliya
حسن سے عرض شوق نہ کرنا حسن کو زک پہنچانا ہے ,ہم نے عرض شوق نہ کر کے حسن کو زک پہنچائی ہے ,Jaun Eliya
طفلان کوچہ گرد کے پتھر بھی کچھ نہیں ,سودا بھی ایک وہم ہے اور سر بھی کچھ نہیں ,Jaun Eliya
ہے یہ وجود کی نمود اپنی نفس نفس گریز ,"وقت کی ساری بستیاں، اپنی ہزیمتوں میں ہیں ",Jaun Eliya
جونؔ جنوب زرد کے خاک بسر یہ دکھ اٹھا ,موج شمال سبز جاں آئی تھی اور چلی گئی ,Jaun Eliya
مرے حریف مری یکہ تازیوں پہ نثار ,تمام عمر حلیفوں سے جنگ کی میں نے ,Jaun Eliya
ہم نفسان وضع دار مستمعان برد بار ,ہم تو تمہارے واسطے ایک وبال ہو گئے ,Jaun Eliya
اے طراحدار عشوہ طراز دیار ناز ,رخصت ہوا ہوں تیرے لیے دل گلی سے میں ,Jaun Eliya
معنئ جاودان جاں کچھ بھی نہیں مگر زیاں ,سارے کلیم ہیں زبوں سارا کلام رنج ہے ,Jaun Eliya
پاس حیات کا خیال ہم کو بہت برا لگا ,پس بہ ہجوم معرکہ جان کے بے سپر گئے ,Jaun Eliya
آج لب گہر فشاں آپ نے وا نہیں کیا ,تذکرۂ خجستۂ آب و ہوا نہیں کیا ,Jaun Eliya
وہ جو تھے شہر تحیر ترے پر فن معمار ,وہی پر فن تجھے ڈھانے کے لیے نکلے ہیں ,Jaun Eliya
صد یاد یاد جونؔ وہ ہنگام دل کہ جب ,ہم ایک گام کے نہ تھے پر ہفت خواں کے تھے ,Jaun Eliya
وہ ہجوم دل زدگاں کہ تھا تجھے مژدہ ہو کہ بکھر گیا ,ترے آستانے کی خیر ہو سر رہ غبار بھی اب نہیں ,Jaun Eliya
پتا پتا بوٹا بوٹا حال ہمارا جانے ہے ,جانے نہ جانے گل ہی نہ جانے باغ تو سارا جانے ہے ,Meer Taqi Meer
کوئی تم سا بھی کاش تم کو ملے ,مدعا ہم کو انتقام سے ہے ,Meer Taqi Meer
ہم ہوئے تم ہوئے کہ میرؔ ہوئے ,اس کی زلفوں کے سب اسیر ہوئے ,Meer Taqi Meer
الٹی ہو گئیں سب تدبیریں کچھ نہ دوا نے کام کیا ,دیکھا اس بیماری دل نے آخر کام تمام کیا ,Meer Taqi Meer
نازکی اس کے لب کی کیا کہئے ,پنکھڑی اک گلاب کی سی ہے ,Meer Taqi Meer
آگ تھے ابتدائے عشق میں ہم ,اب جو ہیں خاک انتہا ہے یہ ,Meer Taqi Meer
بارے دنیا میں رہو غم زدہ یا شاد رہو ,ایسا کچھ کر کے چلو یاں کہ بہت یاد رہو ,Meer Taqi Meer
اب تو جاتے ہیں بت کدے سے میرؔ ,پھر ملیں گے اگر خدا لایا ,Meer Taqi Meer
یاد اس کی اتنی خوب نہیں میرؔ باز آ ,نادان پھر وہ جی سے بھلایا نہ جائے گا ,Meer Taqi Meer
پھول گل شمس و قمر سارے ہی تھے ,پر ہمیں ان میں تمہیں بھائے بہت ,Meer Taqi Meer
دل کی ویرانی کا کیا مذکور ہے ,یہ نگر سو مرتبہ لوٹا گیا ,Meer Taqi Meer
کیا کہوں تم سے میں کہ کیا ہے عشق ,جان کا روگ ہے بلا ہے عشق ,Meer Taqi Meer
عشق اک میرؔ بھاری پتھر ہے ,کب یہ تجھ ناتواں سے اٹھتا ہے ,Meer Taqi Meer
ہوگا کسی دیوار کے سائے میں پڑا میرؔ ,کیا ربط محبت سے اس آرام طلب کو ,Meer Taqi Meer
روتے پھرتے ہیں ساری ساری رات ,اب یہی روزگار ہے اپنا ,Meer Taqi Meer
بے وفائی پہ تیری جی ہے فدا ,قہر ہوتا جو باوفا ہوتا ,Meer Taqi Meer
میرؔ صاحب تم فرشتہ ہو تو ہو ,آدمی ہونا تو مشکل ہے میاں ,Meer Taqi Meer
شام سے کچھ بجھا سا رہتا ہوں ,دل ہوا ہے چراغ مفلس کا ,Meer Taqi Meer
کیا کہیں کچھ کہا نہیں جاتا ,اب تو چپ بھی رہا نہیں جاتا ,Meer Taqi Meer
میرؔ عمداً بھی کوئی مرتا ہے ,جان ہے تو جہان ہے پیارے ,Meer Taqi Meer
گل ہو مہتاب ہو آئینہ ہو خورشید ہو میر ,اپنا محبوب وہی ہے جو ادا رکھتا ہو ,Meer Taqi Meer
مت سہل ہمیں جانو پھرتا ہے فلک برسوں ,تب خاک کے پردے سے انسان نکلتے ہیں ,Meer Taqi Meer
بے خودی لے گئی کہاں ہم کو ,دیر سے انتظار ہے اپنا ,Meer Taqi Meer
اب کر کے فراموش تو ناشاد کرو گے ,پر ہم جو نہ ہوں گے تو بہت یاد کرو گے ,Meer Taqi Meer
ہمارے آگے ترا جب کسو نے نام لیا ,دل ستم زدہ کو ہم نے تھام تھام لیا ,Meer Taqi Meer
دلی میں آج بھیک بھی ملتی نہیں انہیں ,تھا کل تلک دماغ جنہیں تاج و تخت کا ,Meer Taqi Meer
شرط سلیقہ ہے ہر اک امر میں ,عیب بھی کرنے کو ہنر چاہئے ,Meer Taqi Meer
زخم جھیلے داغ بھی کھائے بہت ,دل لگا کر ہم تو پچھتائے بہت ,Meer Taqi Meer
دکھائی دیئے یوں کہ بے خود کیا ,ہمیں آپ سے بھی جدا کر چلے ,Meer Taqi Meer
میرؔ بندوں سے کام کب نکلا ,مانگنا ہے جو کچھ خدا سے مانگ ,Meer Taqi Meer
عشق معشوق عشق عاشق ہے ,یعنی اپنا ہی مبتلا ہے عشق ,Meer Taqi Meer
سرہانے میرؔ کے کوئی نہ بولو ,ابھی ٹک روتے روتے سو گیا ہے ,Meer Taqi Meer
ناحق ہم مجبوروں پر یہ تہمت ہے مختاری کی ,چاہتے ہیں سو آپ کریں ہیں ہم کو عبث بدنام کیا ,Meer Taqi Meer
یہی جانا کہ کچھ نہ جانا ہائے ,سو بھی اک عمر میں ہوا معلوم ,Meer Taqi Meer
وصل میں رنگ اڑ گیا میرا ,کیا جدائی کو منہ دکھاؤں گا ,Meer Taqi Meer
عشق میں جی کو صبر و تاب کہاں ,اس سے آنکھیں لڑیں تو خواب کہاں ,Meer Taqi Meer
مرے سلیقے سے میری نبھی محبت میں ,تمام عمر میں ناکامیوں سے کام لیا ,Meer Taqi Meer
ہم جانتے تو عشق نہ کرتے کسو کے ساتھ ,لے جاتے دل کو خاک میں اس آرزو کے ساتھ ,Meer Taqi Meer
پھرتے ہیں میرؔ خوار کوئی پوچھتا نہیں ,اس عاشقی میں عزت سادات بھی گئی ,Meer Taqi Meer
گفتگو ریختے میں ہم سے نہ کر ,یہ ہماری زبان ہے پیارے ,Meer Taqi Meer
جب کہ پہلو سے یار اٹھتا ہے ,درد بے اختیار اٹھتا ہے ,Meer Taqi Meer
میرؔ ان نیم باز آنکھوں میں ,ساری مستی شراب کی سی ہے ,Meer Taqi Meer
دل مجھے اس گلی میں لے جا کر ,اور بھی خاک میں ملا لایا ,Meer Taqi Meer
اقرار میں کہاں ہے انکار کی سی خوبی ,ہوتا ہے شوق غالب اس کی نہیں نہیں پر ,Meer Taqi Meer
جن جن کو تھا یہ عشق کا آزار مر گئے ,اکثر ہمارے ساتھ کے بیمار مر گئے ,Meer Taqi Meer
لے سانس بھی آہستہ کہ نازک ہے بہت کام ,آفاق کی اس کارگہ شیشہ گری کا ,Meer Taqi Meer
میرؔ ہم مل کے بہت خوش ہوئے تم سے پیارے ,اس خرابے میں مری جان تم آباد رہو ,Meer Taqi Meer
میرؔ کے دین و مذہب کو اب پوچھتے کیا ہو ان نے تو ,قشقہ کھینچا دیر میں بیٹھا کب کا ترک اسلام کیا ,Meer Taqi Meer
اس کے فروغ حسن سے جھمکے ہے سب میں نور ,شمع حرم ہو یا کہ دیا سومنات کا ,Meer Taqi Meer
امیر زادوں سے دلی کے مل نہ تا مقدور ,کہ ہم فقیر ہوئے ہیں انہیں کی دولت سے ,Meer Taqi Meer
سخت کافر تھاجن نے پہلے میرؔ ,مذہب عشق اختیار کیا ,Meer Taqi Meer
میرے رونے کی حقیقت جس میں تھی ,ایک مدت تک وہ کاغذ نم رہا ,Meer Taqi Meer
عمر گزری دوائیں کرتے میرؔ ,درد دل کا ہوا نہ چارہ ہنوز ,Meer Taqi Meer
اب جو اک حسرت جوانی ہے ,عمر رفتہ کی یہ نشانی ہے ,Meer Taqi Meer
میرؔ صاحب زمانہ نازک ہے ,دونوں ہاتھوں سے تھامیے دستار ,Meer Taqi Meer
یوں اٹھے آہ اس گلی سے ہم ,جیسے کوئی جہاں سے اٹھتا ہے ,Meer Taqi Meer
گوندھ کے گویا پتی گل کی وہ ترکیب بنائی ہے ,رنگ بدن کا تب دیکھو جب چولی بھیگے پسینے میں ,Meer Taqi Meer
کہتے تو ہو یوں کہتے یوں کہتے جو وہ آتا ,یہ کہنے کی باتیں ہیں کچھ بھی نہ کہا جاتا ,Meer Taqi Meer
دل وہ نگر نہیں کہ پھر آباد ہو سکے ,پچھتاؤ گے سنو ہو یہ بستی اجاڑ کر ,Meer Taqi Meer
بلبل غزل سرائی آگے ہمارے مت کر ,سب ہم سے سیکھتے ہیں انداز گفتگو کا ,Meer Taqi Meer
تجھ کو مسجد ہے مجھ کو مے خانہ ,واعظا اپنی اپنی قسمت ہے ,Meer Taqi Meer
یہ جو مہلت جسے کہے ہیں عمر ,دیکھو تو انتظار سا ہے کچھ ,Meer Taqi Meer
سارے عالم پر ہوں میں چھایا ہوا ,مستند ہے میرا فرمایا ہوا ,Meer Taqi Meer
تجھی پر کچھ اے بت نہیں منحصر ,جسے ہم نے پوجا خدا کر دیا ,Meer Taqi Meer
جائے ہے جی نجات کے غم میں ,ایسی جنت گئی جہنم میں ,Meer Taqi Meer
مجھ کو شاعر نہ کہو میرؔ کہ صاحب میں نے ,درد و غم کتنے کیے جمع تو دیوان کیا ,Meer Taqi Meer
چشم ہو تو آئینہ خانہ ہے دہر ,منہ نظر آتا ہے دیواروں کے بیچ ,Meer Taqi Meer
دیکھ تو دل کہ جاں سے اٹھتا ہے ,یہ دھواں سا کہاں سے اٹھتا ہے ,Meer Taqi Meer
عشق کرتے ہیں اس پری رو سے ,میرؔ صاحب بھی کیا دوانے ہیں ,Meer Taqi Meer
ہزار مرتبہ بہتر ہے بادشاہی سے ,اگر نصیب ترے کوچے کی گدائی ہو ,Meer Taqi Meer
کن نیندوں اب تو سوتی ہے اے چشم گریہ ناک ,مژگاں تو کھول شہر کو سیلاب لے گیا ,Meer Taqi Meer
جم گیا خوں کف قاتل پہ ترا میرؔ زبس ,ان نے رو رو دیا کل ہاتھ کو دھوتے دھوتے ,Meer Taqi Meer
پڑھتے پھریں گے گلیوں میں ان ریختوں کو لوگ ,مدت رہیں گی یاد یہ باتیں ہماریاں ,Meer Taqi Meer
عشق ہی عشق ہے جہاں دیکھو ,سارے عالم میں بھر رہا ہے عشق ,Meer Taqi Meer
